title,url,content,company
"[人사이트]오인택 KT 상무 ""RPA로 2년간 70만 업무시간 절감, 생산성 극대화하...",http://www.etnews.com/20201119000103,“로봇 프로세스 자동화(RPA)로 KT 임직원이 업무 시간을 70만 시간 이상 절감했습니다.” 오인택 KT DX혁신담당(상무)는 “RPA로 임직원의 일하는 방식의 DNA를 바꾸고 있다”며 이같이 말했다. 이어 “전표처리 등 단순...,전자신문언론사 선정
"남부발전, 사내업무에 RPA 전면 도입…디지털전환 박차",https://zdnet.co.kr/view/?no=20201118130009,한국남부발전이 생산성 혁신을 위해 사내업무에 로봇 프로세스 자동화(RPA)를 전면 도입한다. 비대면 업무환경에 디지털 전환을 도입해 기업경쟁력 강화를 꾀하겠다는 목표다. 남부발전은 고성능 인공지능(AI) RPA...,ZDNet Korea
SW로봇이 뉴스·SNS 모니터링…RPA 기반 ‘오토몬’ 출시,http://www.dt.co.kr/contents.html?article_no=2020111802109931650005&ref=naver,"한솔피앤에스-하이퍼앰, 콘텐츠 자동 모니터링해 매일 이메일 제공 RPA(로봇 업무 자동화) 기업 한솔피앤에스(IT부문 대표 조남철)와 커뮤니케이션 전문기업 하이퍼앰(대표 김학균)은 RPA를 활용한 미디어·SNS 채널...",디지털타임스
"농협상호금융, 단순 반복 업무 로봇이 대신 수행",http://www.busan.com/view/busan/view.php?code=2020112017535059390,농협상호금융은 업무 효율성 제고를 위한 ‘로봇프로세스자동화(RPA)’를 개발하고 업무에 적용한다고 20일... 대해 RPA를 도입하고 1개월간의 안정화 단계를 거쳤다. 내년에는 ‘NH RPA’ 포털을 활용한 상시 과제 제안...,부산일보
"은행 영업점에서도 로봇이 일한다…국민은행, 영업점 RPA 도입 추진",http://www.ddaily.co.kr/news/article.html?no=205101,KB국민은행이 전 영업점을 대상으로 로봇프로세스자동화(RPA) 도입에 나선다. 금융권에서 본점 및 후선업무 조직을 기본으로 RPA 도입이 전사 확산되고 있지만 영업점 업무에 까지 확산되는 것은 사실상 처음이다....,디지털데일리
"데브멘토, FTA에 RPA 적용 온라인 세미나 개최",https://zdnet.co.kr/view/?no=20201117215615,"프로세스자동화(RPA)를 주제로 온라인 세미나를 개최한다고 밝혔다. 개발자 온라인 컨퍼런스 일환으로 열리는 이번 행사는 오토메이션애니웨어코리아 후원으로 진행되며, RPA 프로세스 개발과 적용 사례를 시연한다....",ZDNet Korea
"한솔PNS, 로봇으로 뉴스 모니터링",https://www.hankyung.com/it/article/2020111842871,"오토몬은 RPA(로봇프로세스자동화) 기술을 이용, 방대한 양의 정보를 빠르게 수집해 기업 및 공공기관에... 조남철 한솔PNS IT부문 대표는 “RPA는 단순, 반복적이고 정형적인 대량의 업무를 자동으로 처리하는 기업용...",한국경제
"농협생명, 로봇 업무자동화 시스템 도입 '디지털혁신'",https://view.asiae.co.kr/article/2020111813513547914,NH농협생명이 업무를 디지털화하기 위한'로봇업무자동화(RPA) 시스템 구축에 착수하면서 디지털 보험사로 전환에 속도를 내고 있다. 18일 보험업계에 따르면 농협생명은 RPA 최적 도입을 위해 전담 태스크포스(TF)를...,아시아경제
"디지털 혁신, 어떻게 준비하고 실행할 것인가",https://zdnet.co.kr/view/?no=20201118142507,"유아이패스는 로봇프로세스자동화(RPA)와 AI 기술을 접목해 기업 업무 자동화를 가속하는 방안을 발표했다. 이봉선 유아이패스코리아 전무는 ""초자동화, 하이퍼오토메이션은 기존 RPA에 AI 및 머신러닝 모델, 프로세스...",ZDNet Korea
"고려대 신소재공학부, RPA 전문기업 오토메이션 애니웨어와 협약",http://news.unn.net/news/articleView.html?idxno=237006,신소재공학부와 RPA(Robotic Process Automation) 전문기업인 오토메이션 애니웨어(Automation Anywhere)가 12일 고려대 공학관에서 디지털 변혁 선도인재 양성을 위한 업무 협정을 체결했다. 이번 협약체결로 양 기관은 △RPA...,한국대학신문
